runr	latn
ᚠ	f
ᚢ	ø
ᚢ	o
ᚢ	y
ᚢ	w
ᚢ	v
ᚢ	u
ᚦ	ð
ᚦ	þ
ᚬ	æ
ᚬ	o
ᚬ	ą
ᚱ	r
ᚴ	ŋ
ᚴ	g
ᚴ	k
ᚽ	h
ᚼ	h
ᚿ	n
ᚾ	n
ᛁ	i
ᛆ	e
ᛆ	æ
ᛆ	a
ᛅ	e
ᛅ	æ
ᛅ	a
ᛦ	ʀ
ᛌ	s
ᛋ	s
ᛐ	d
ᛐ	t
ᛏ	d
ᛏ	t
ᛒ	p
ᛒ	b
ᛘ	m
ᛚ	l
