runr	latn
ᚠ	f
ᚢ	u
ᚦ	th
ᚩ	o
ᚱ	r
ᚳ	c
ᚷ	g
ᚹ	w
ᚻ	h
ᚾ	n
ᛁ	i
ᛄ	j
ᛡ	j
ᛇ	ï
ᛈ	p
ᛉ	x
ᚴ	s
ᛋ	s
ᛏ	t
ᛒ	b
ᛖ	e
ᛗ	m
ᛚ	l
ᛝ	ŋ
ᛟ	œ
ᛞ	d
ᚪ	a
ᚫ	æ
ᛠ	ea
ᚣ	y
ᛣ	k
ᚸ	ḡ
ᛢ	q
ᛥ	st
ᛡ	io
ᛤ	k̄
ᛤ	c̄
